# data.go.kr 활용신청 endpoint 인테이크 (자동 수집됨)
# 수집일: 2026-05-12 · data.go.kr 마이페이지 자동 순회
# 컬럼: dataName <TAB> endpoint <TAB> format <TAB> status
# ⛔ 인증키는 절대 포함하지 않음
공정거래위원회_가맹정보_브랜드 가맹점 사업자 판매 제한 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandfrcsbzmnntsllmttinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 영업지역 설정 기준 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandbsnareastngcrtrainfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 영업지역 재조정 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandbsnareareadjstinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 가맹점 관리 감독 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandfrcsmnmnginfoService	JSON+XML	승인
공정거래위원회_가맹정보_가맹본부 법인·개인사업자 비율 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcjnghdqrtrscorpindvdlrtstatService	JSON+XML	승인
공정거래위원회_가맹정보_업종별 가맹본부 변동 현황 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcindutyflctnstatService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 경영지원 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandmngmtsprtinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 점포 환경 개선 지원 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandstevmpsprtinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 가맹점 사업자 보험 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandfrcsinsrncinfoService	JSON+XML	승인
공정거래위원회_가맹정보_주요 업종별 브랜드수 현황 제공 서비스	https://apis.data.go.kr/1130000/FftcindutybrdcntstatService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 경영자문 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandmngmtcnsutinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 가맹지역본부 일반 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandjgtrsinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 별도 유통 채널 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandagencydistbchnnlinfoService	JSON+XML	승인
공정거래위원회_가맹정보_가맹본부 법 위반 민사소송 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcjnghdqrtrscvlstinfoService	JSON+XML	승인
공정거래위원회_가맹정보_업종별 지식재산권 보유 현황 제공 서비스	https://apis.data.go.kr/1130000/FftcindutyiprsholdstatService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 광고판촉분담 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandadvrtspromtndvolbinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 가맹점 사업자 교육 훈련 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandfrcseduhrctinfoService	JSON+XML	승인
공정거래위원회_가맹정보_연도별 업종별 정보공개서 신고 현황 제공 서비스	https://apis.data.go.kr/1130000/FftcyrindutyifrmpdclrstatService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 가맹금 예치 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandjnntdepoinstinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 가맹점 사업자 기타 지원 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandevntsprtinfoService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 가맹점 사업자 보증금 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandfrcsbzmngtninfoService	JSON+XML	승인
공정거래위원회_가맹정보_가맹본부 임원 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcjnghdqrtrsexctvlistService	JSON+XML	승인
공정거래위원회_가맹정보_브랜드 지식재산권 정보 제공 서비스	https://apis.data.go.kr/1130000/FftcbrandiprsinfoService	JSON+XML	승인
